"Displacement:0","Displacement:1","Displacement:2","Points:0","Points:1","Points:2","ids"
0,0,0,-0.016298,0.0033492,-0.086805,75
0,0,0,-0.0033276,4.0752e-19,-0.086805,76
0,0,0,-0.0066553,8.1503e-19,-0.086805,77
0,0,0,-0.0099829,1.2226e-18,-0.086805,78
0,0,0,-0.013311,1.6301e-18,-0.086805,79
0,0,0,-0.016638,2.0376e-18,-0.086805,80
0,0,0,-0.0032595,-0.00066985,-0.086805,81
0,0,0,-0.006519,-0.0013397,-0.086805,82
0,0,0,-0.0097785,-0.0020095,-0.086805,83
0,0,0,-0.013038,-0.0026794,-0.086805,84
0,0,0,-0.016298,-0.0033492,-0.086805,85
0,0,0,-0.003058,-0.0013123,-0.086805,86
0,0,0,-0.0061159,-0.0026245,-0.086805,87
0,0,0,-0.0091739,-0.0039368,-0.086805,88
0,0,0,-0.012232,-0.0052491,-0.086805,89
0,0,0,-0.01529,-0.0065614,-0.086805,90
0,0,0,-0.0027312,-0.001901,-0.086805,91
0,0,0,-0.0054624,-0.0038019,-0.086805,92
0,0,0,-0.0081936,-0.0057029,-0.086805,93
0,0,0,-0.010925,-0.0076039,-0.086805,94
0,0,0,-0.013656,-0.0095048,-0.086805,95
0,0,0,-0.0022926,-0.0024118,-0.086805,96
0,0,0,-0.0045853,-0.0048237,-0.086805,97
0,0,0,-0.0068779,-0.0072355,-0.086805,98
0,0,0,-0.0091705,-0.0096474,-0.086805,99
0,0,0,-0.011463,-0.012059,-0.086805,100
0,0,0,-0.0017602,-0.002824,-0.086805,101
0,0,0,-0.0035204,-0.0056479,-0.086805,102
0,0,0,-0.0052806,-0.0084719,-0.086805,103
0,0,0,-0.0070408,-0.011296,-0.086805,104
0,0,0,-0.008801,-0.01412,-0.086805,105
0,0,0,-0.0011557,-0.0031205,-0.086805,106
0,0,0,-0.0023114,-0.006241,-0.086805,107
0,0,0,-0.0034671,-0.0093615,-0.086805,108
0,0,0,-0.0046228,-0.012482,-0.086805,109
0,0,0,-0.0057785,-0.015602,-0.086805,110
0,0,0,-0.0005039,-0.0032893,-0.086805,111
0,0,0,-0.0010078,-0.0065785,-0.086805,112
0,0,0,-0.0015117,-0.0098678,-0.086805,113
