"Displacement:0","Displacement:1","Displacement:2","Points:0","Points:1","Points:2","ids"
-0.0019894,-0.00014337,-0.071537,0.0013469,0.012742,-0.15834,34
-0.00053516,-0.0057802,-0.071537,0.0036352,0.010327,-0.15834,35
0.00033197,-0.0012543,-0.071537,0.00050052,0.0020691,-0.15834,36
-0.00047947,-0.000968,-0.071537,-0.00014239,0.0056787,-0.15834,37
-0.001076,-0.0013423,-0.071537,-0.00057042,0.0086278,-0.15834,38
-0.0013413,-0.0007793,-0.071537,-0.00066714,0.012514,-0.15834,39
-0.00031389,-0.007546,-0.071537,0.00052882,0.0090708,-0.15834,40
-0.00036114,-0.00032824,-0.071537,-0.00086504,0.002961,-0.15834,41
-0.0005354,-0.0015915,-0.071537,-0.0015432,0.004987,-0.15834,42
-0.00072029,-0.0017483,-0.071537,-0.002232,0.0081195,-0.15834,43
-0.00031159,-0.0016767,-0.071537,-0.0023272,0.01148,-0.15834,44
0.0035504,-0.0041569,-0.071537,0.001031,0.012289,-0.15834,45
-0.0016945,-0.0011902,-0.071537,-0.0028502,0.0019303,-0.15834,46
-0.00078556,-0.0016465,-0.071537,-0.003097,0.0045945,-0.15834,47
-0.00097055,-0.0020045,-0.071537,-0.0044377,0.007357,-0.15834,48
9.9641e-05,-0.0015553,-0.071537,-0.0045232,0.010927,-0.15834,49
0.003895,-0.0019949,-0.071537,-0.0018836,0.013608,-0.15834,50
0.00056778,-0.001821,-0.071537,-0.0011924,0.001003,-0.15834,51
-0.00063848,-0.0021998,-0.071537,-0.0041589,0.0034482,-0.15834,52
-0.00052073,-0.0016004,-0.071537,-0.0058013,0.0068715,-0.15834,53
0.00026131,-0.0014981,-0.071537,-0.0067795,0.0097978,-0.15834,54
0.0036603,-0.0010287,-0.071537,-0.0051407,0.013091,-0.15834,55
0.001321,-0.00076719,-0.071537,-0.00097164,0.0016447,-0.15834,56
0.00015746,-0.0018793,-0.071537,-0.0044278,0.0029444,-0.15834,57
-0.00015528,-0.0015108,-0.071537,-0.0070332,0.0057248,-0.15834,58
-0.00017191,-0.001184,-0.071537,-0.0093424,0.0084634,-0.15834,59
0.0035972,-0.00048939,-0.071537,-0.0078659,0.01157,-0.15834,60
0.00061661,-0.0011263,-0.071537,-0.0021146,0.00077469,-0.15834,61
0.00014101,-0.0020243,-0.071537,-0.0053214,0.0017776,-0.15834,62
-3.4892e-05,-0.0014056,-0.071537,-0.0082285,0.0042973,-0.15834,63
0.0001864,-0.0013658,-0.071537,-0.010738,0.006238,-0.15834,64
0.0033349,-9.0396e-05,-0.071537,-0.010321,0.0094145,-0.15834,65
0.00090058,-0.00094357,-0.071537,-0.0021574,0.0003687,-0.15834,66
0.00061267,-0.0017926,-0.071537,-0.0055032,0.00083195,-0.15834,67
0.00039253,-0.001082,-0.071537,-0.0087813,0.0028548,-0.15834,68
